Mayfield,$$,Crown Heights,"688 Franklin AveBrooklyn, NY 11238",4.0 star rating,343 reviews,/biz/mayfield-brooklyn
The Saint Austere,$$,Williamsburg - North Side,"613 Grand StBrooklyn, NY 11211",4.5 star rating,250 reviews,/biz/the-saint-austere-brooklyn
Covert Coffee,$,"Bedford Stuyvesant, Bushwick","1643 BroadwayBrooklyn, NY 11207",5.0 star rating,25 reviews,/biz/covert-coffee-brooklyn
Nam Nam,$,East Williamsburg,"109 Montrose AveBrooklyn, NY 11206",4.5 star rating,317 reviews,/biz/nam-nam-brooklyn-2
Puerto Viejo,$$,Crown Heights,"564 Grand AveBrooklyn, NY 11238",4.5 star rating,244 reviews,/biz/puerto-viejo-brooklyn
David’s Brisket House,$$,"Bedford Stuyvesant, Crown Heights","533 Nostrand AveBrooklyn, NY 11216",4.5 star rating,253 reviews,/biz/davids-brisket-house-brooklyn
June,$$,Cobble Hill,"231 Court StBrooklyn, NY 11201",4.5 star rating,56 reviews,/biz/june-brooklyn-3
La Goulette,$$,Williamsburg - North Side,"159 Grand StBrooklyn, NY 11249",4.5 star rating,189 reviews,/biz/la-goulette-brooklyn
Okonomi,$$,Williamsburg - North Side,"150 Ainslie StBrooklyn, NY 11211",4.5 star rating,198 reviews,/biz/okonomi-brooklyn
Giovanni’s Brooklyn Eats,$$,South Slope,"1657 8th AveBrooklyn, NY 11215",4.0 star rating,246 reviews,/biz/giovannis-brooklyn-eats-brooklyn-2
Panino Rustico,$$,Bensonhurst,"8222 17th AveBrooklyn, NY 11214",4.5 star rating,239 reviews,/biz/panino-rustico-brooklyn
Masha & the Bear,$$,East Williamsburg,"771 Grand StBrooklyn, NY 11211",4.5 star rating,84 reviews,/biz/masha-and-the-bear-brooklyn
Taci’s Beyti,$$,"Gravesend, Midwood","1955 Coney Island AveBrooklyn, NY 11223",4.5 star rating,392 reviews,/biz/tacis-beyti-brooklyn
Parkside,$$,Prospect Lefferts Gardens,"705 Flatbush AveBrooklyn, NY 11225",4.5 star rating,45 reviews,/biz/parkside-brooklyn
Lulu & Po,$$$,Fort Greene,"154 Carlton AveBrooklyn, NY 11205",4.5 star rating,127 reviews,/biz/lulu-and-po-brooklyn
Piccoli Trattoria,$$,"Park Slope, South Slope","522 6th AveBrooklyn, NY 11215",4.0 star rating,291 reviews,/biz/piccoli-trattoria-brooklyn
Tacos El Bronco,$,Sunset Park,"4324 4th AveBrooklyn, NY 11220",4.0 star rating,329 reviews,/biz/tacos-el-bronco-brooklyn-2
Gourmet Fit,$$,Bay Ridge,"6819 3rd AveBrooklyn, NY 11220",5.0 star rating,39 reviews,/biz/gourmet-fit-brooklyn
Surfish Peruvian Bistro,$$,Gowanus,"550 3rd AvenueBrooklyn, NY 11215",4.5 star rating,48 reviews,/biz/surfish-peruvian-bistro-brooklyn-2
Mariella,$$,"Park Slope, South Slope","492 6th AveBrooklyn, NY 11215",4.5 star rating,110 reviews,/biz/mariella-brooklyn
Defontes,$$,Red Hook,"379 Columbia StBrooklyn, NY 11231",4.5 star rating,200 reviews,/biz/defontes-brooklyn
Olea,$$,Fort Greene,"171 Lafayette AveBrooklyn, NY 11238",4.0 star rating,567 reviews,/biz/olea-brooklyn-2
AWOL Eatery,$$,East Williamsburg,"336 Graham AveBrooklyn, NY 11211",4.5 star rating,132 reviews,/biz/awol-eatery-brooklyn
Emily,$$,Clinton Hill,"919 Fulton StBrooklyn, NY 11238",4.0 star rating,303 reviews,/biz/emily-brooklyn
Silver Rice,$$,Crown Heights,"638 Park PlBrooklyn, NY 11238",4.5 star rating,152 reviews,/biz/silver-rice-brooklyn
Brooklyn Beet Company,$$,Bay Ridge,"7205 3rd AveBrooklyn, NY 11209",4.5 star rating,226 reviews,/biz/brooklyn-beet-company-brooklyn
Montana’s Trail House,$$,Bushwick,"445 Troutman StBrooklyn, NY 11237",4.5 star rating,197 reviews,/biz/montanas-trail-house-brooklyn
Nostro Ristorante,$$,South Slope,"710 5th aveBrooklyn, NY 11215",5.0 star rating,32 reviews,/biz/nostro-ristorante-brooklyn
Nhà Minh,$$,East Williamsburg,"485 Morgan AveBrooklyn, NY 11222",4.5 star rating,51 reviews,/biz/nh%C3%A0-minh-brooklyn
Jun Shokudo,$$,Downtown Brooklyn,"306 Gold StBrooklyn, NY 11201",4.5 star rating,60 reviews,/biz/jun-shokudo-brooklyn
Don Chingon,$$,Prospect Heights,"216 Flatbush AveBrooklyn, NY 11217",4.5 star rating,105 reviews,/biz/don-chingon-brooklyn
Samurai Papa,$$,East Williamsburg,"32 Varet StBrooklyn, NY 11206",4.5 star rating,108 reviews,/biz/samurai-papa-brooklyn-2
Aita,$$,Clinton Hill,"132 Greene AveBrooklyn, NY 11238",4.0 star rating,148 reviews,/biz/aita-brooklyn
Riverdel,$$,"Crown Heights, Prospect Heights","820 Washington AveBrooklyn, NY 11238",5.0 star rating,20 reviews,/biz/riverdel-brooklyn
Wallabout Seafood,$$$,Fort Greene,"271 Adelphi StBrooklyn, NY 11205",4.5 star rating,57 reviews,/biz/wallabout-seafood-brooklyn
Battersby,$$$,"Cobble Hill, Gowanus","255 Smith StBrooklyn, NY 11231",4.0 star rating,239 reviews,/biz/battersby-brooklyn
Pates Et Traditions,$$,Williamsburg - North Side,"52 Havemeyer StBrooklyn, NY 11211",4.5 star rating,655 reviews,/biz/pates-et-traditions-brooklyn
Home/Made,$$,Red Hook,"63 Commerce StBrooklyn, NY 11231",4.0 star rating,180 reviews,/biz/home-made-brooklyn
Post Office,$$,Williamsburg - South Side,"188 Havemeyer StBrooklyn, NY 11211",4.5 star rating,217 reviews,/biz/post-office-brooklyn-6
MangoSeed Restaurant,$$,Flatbush,"757 Flatbush AveBrooklyn, NY 11226",4.0 star rating,436 reviews,/biz/mangoseed-restaurant-brooklyn-2
La Slowteria,$$,Carroll Gardens,"548 Court StBrooklyn, NY 11231",4.5 star rating,117 reviews,/biz/la-slowteria-brooklyn
Newtown,$,East Williamsburg,"55 Waterbury StBrooklyn, NY 11206",4.5 star rating,80 reviews,/biz/newtown-brooklyn-2
Brooklyn Ball Factory,$$,East Williamsburg,"95 Montrose AveBrooklyn, NY 11206",4.5 star rating,64 reviews,/biz/brooklyn-ball-factory-brooklyn
Uncle’s Shack & Grill,$,Flatbush,"1117 Rogers AveBrooklyn, NY 11226",4.5 star rating,36 reviews,/biz/uncles-shack-and-grill-brooklyn-2
Lucali,$$,Carroll Gardens,"575 Henry StBrooklyn, NY 11231",4.5 star rating,791 reviews,/biz/lucali-brooklyn-3
Hometown Bar-B-Que,$$,Red Hook,"454 Van Brunt StBrooklyn, NY 11231",4.0 star rating,517 reviews,/biz/hometown-bar-b-que-brooklyn
Monsignor’s Restaurant,$$,South Slope,"679 5th AveBrooklyn, NY 11215",4.0 star rating,154 reviews,/biz/monsignors-restaurant-brooklyn
Cafe Zona Sur,$$,Sunset Park,"4314 4th AveBrooklyn, NY 11232",4.0 star rating,189 reviews,/biz/cafe-zona-sur-brooklyn
Fromage Garage “Grill Shop & Belly Repair”,$$,Williamsburg - North Side,"441 Metropolitan AveBrooklyn, NY 11211",4.5 star rating,31 reviews,/biz/fromage-garage-grill-shop-and-belly-repair-brooklyn
FREEHOLD,$$,Williamsburg - South Side,"45 S 3rd StBrooklyn, NY 11249",4.0 star rating,143 reviews,/biz/freehold-brooklyn
C.Lo Cafe,$$,East Williamsburg,"39 Bushwick AveBrooklyn, NY 11211",4.5 star rating,48 reviews,/biz/c-lo-cafe-brooklyn
Ital Kitchen,$$,Crown Heights,"1032 Union StBrooklyn, NY 11225",4.5 star rating,44 reviews,/biz/ital-kitchen-brooklyn-2
Rucola,$$,Boerum Hill,"190 Dean StBrooklyn, NY 11217",4.0 star rating,298 reviews,/biz/rucola-brooklyn
The Castello Plan,$$,Flatbush,"1213 Cortelyou RdBrooklyn, NY 11218",4.0 star rating,224 reviews,/biz/the-castello-plan-brooklyn
Baron’s,$$,Bedford Stuyvesant,"564 Dekalb AveBrooklyn, NY 11205",4.5 star rating,42 reviews,/biz/barons-brooklyn
Table 87 Coal Oven Pizza,$$,Gowanus,"473 3rd AveBrooklyn, NY 11215",4.5 star rating,154 reviews,/biz/table-87-coal-oven-pizza-brooklyn
Kimchi Grill,$,"Crown Heights, Prospect Heights","766 Washington AveBrooklyn, NY 11238",4.0 star rating,371 reviews,/biz/kimchi-grill-brooklyn
Liu’s Shanghai,$$,Bath Beach,"1869 Bath AveBrooklyn, NY 11214",4.5 star rating,97 reviews,/biz/lius-shanghai-brooklyn-2
L & B Spumoni Gardens,$,Gravesend,"2725 86th StBrooklyn, NY 11223",4.0 star rating,2279 reviews,/biz/l-and-b-spumoni-gardens-brooklyn
Milk & Honey Cafe,$$,Flatbush,"1119 Newkirk AveBrooklyn, NY 11230",4.0 star rating,207 reviews,/biz/milk-and-honey-cafe-brooklyn-2
Stocked,$$,Prospect Heights,"635 Vanderbilt AveBrooklyn, NY 11238",4.0 star rating,102 reviews,/biz/stocked-brooklyn-2
Chuko,$$,Prospect Heights,"552 Vanderbilt AveBrooklyn, NY 11238",4.0 star rating,700 reviews,/biz/chuko-brooklyn
Runner & Stone,$$,Gowanus,"285 3rd AveBrooklyn, NY 11215",4.0 star rating,158 reviews,/biz/runner-and-stone-brooklyn
Copper Cliff,$$$,Clinton Hill,"214 Greene AveBrooklyn, NY 11238",4.5 star rating,25 reviews,/biz/copper-cliff-brooklyn-7
Red Hook Lobster Pound,$$,Red Hook,"284 Van Brunt StBrooklyn, NY 11231",4.0 star rating,629 reviews,/biz/red-hook-lobster-pound-brooklyn
Leyenda,$$,"Cobble Hill, Gowanus","221 Smith StBrooklyn, NY 11201",4.5 star rating,45 reviews,/biz/leyenda-brooklyn
Kiwiana,$$,Park Slope,"847 Union StBrooklyn, NY 11215",4.0 star rating,262 reviews,/biz/kiwiana-brooklyn
Sottocasa Pizzeria- Boerum Hill,$$,"Boerum Hill, Cobble Hill","298 Atlantic AveBrooklyn, NY 11201",4.5 star rating,382 reviews,/biz/sottocasa-pizzeria-boerum-hill-brooklyn
Landhaus,$$,Williamsburg - South Side,"48 S 4th StBrooklyn, NY 11249",4.5 star rating,36 reviews,/biz/landhaus-brooklyn
Peaches HotHouse,$$,Bedford Stuyvesant,"415 Tompkins AveBrooklyn, NY 11221",4.0 star rating,627 reviews,/biz/peaches-hothouse-brooklyn
Peaches HotHouse,$$,Bedford Stuyvesant,"415 Tompkins AveBrooklyn, NY 11221",4.0 star rating,627 reviews,/biz/peaches-hothouse-brooklyn
El Mate,$$,Carroll Gardens,"550 Court StBrooklyn, NY 11231",5.0 star rating,60 reviews,/biz/el-mate-brooklyn
Kichin,$$,"Williamsburg - South Side, South Williamsburg","297 BroadwayBrooklyn, NY 11211",5.0 star rating,46 reviews,/biz/kichin-brooklyn
Fitzcarraldo,$$,East Williamsburg,"195 Morgan AveBrooklyn, NY 11237",4.5 star rating,57 reviews,/biz/fitzcarraldo-brooklyn
Stone Park Cafe,$$,Park Slope,"324 5th AveBrooklyn, NY 11215",4.0 star rating,685 reviews,/biz/stone-park-cafe-brooklyn-3
Cafe Tibet,$$,Flatbush,"1510 Cortelyou RdBrooklyn, NY 11226",4.0 star rating,205 reviews,/biz/cafe-tibet-brooklyn
East Harbor Seafood Palace,$$,Dyker Heights,"714 65th StBrooklyn, NY 11220",4.0 star rating,428 reviews,/biz/east-harbor-seafood-palace-brooklyn
Wolf and Deer,$$,Park Slope,"74 5th AveBrooklyn, NY 11217",4.0 star rating,179 reviews,/biz/wolf-and-deer-brooklyn
Bunsmith,$$,Crown Heights,"789 Franklin AveBrooklyn, NY 11238",4.0 star rating,101 reviews,/biz/bunsmith-brooklyn
Buttermilk Channel,$$,Carroll Gardens,"524 Court StBrooklyn, NY 11231",4.0 star rating,1290 reviews,/biz/buttermilk-channel-brooklyn
Citrico,$$,"Crown Heights, Prospect Heights","681 Washington AveBrooklyn, NY 11238",4.0 star rating,112 reviews,/biz/citrico-brooklyn
Roberta’s,$$,"East Williamsburg, Bushwick","261 Moore StBrooklyn, NY 11206",4.0 star rating,1654 reviews,/biz/robertas-brooklyn-2
Miriam,$$,Park Slope,"79 5th AveBrooklyn, NY 11215",4.0 star rating,629 reviews,/biz/miriam-brooklyn-2
Sugarburg,$$,Williamsburg - North Side,"519 Metropolitan AveBrooklyn, NY 11211",4.5 star rating,134 reviews,/biz/sugarburg-brooklyn
Chef’s Table at Brooklyn Fare,$$$$,"Downtown Brooklyn, Boerum Hill","200 Schermerhorn StBrooklyn, NY 11201",4.5 star rating,300 reviews,/biz/chefs-table-at-brooklyn-fare-brooklyn-3
Rye,$$$,Williamsburg - South Side,"247 S 1st StBrooklyn, NY 11211",4.0 star rating,487 reviews,/biz/rye-brooklyn
Pastosa Ravioli,$$,Bensonhurst,"7425 New Utrecht AveBrooklyn, NY 11204",4.5 star rating,55 reviews,/biz/pastosa-ravioli-brooklyn
Saraghina,$$,Bedford Stuyvesant,"435 Halsey StBrooklyn, NY 11233",4.0 star rating,561 reviews,/biz/saraghina-brooklyn
Brooklyn Star,$$,Williamsburg - North Side,"593 Lorimer StBrooklyn, NY 11211",4.0 star rating,459 reviews,/biz/brooklyn-star-brooklyn
Streets,$$,South Williamsburg,"53 BroadwayBrooklyn, NY 11249",4.0 star rating,296 reviews,/biz/streets-brooklyn-2
YUJI Ramen,$$,Williamsburg - North Side,"150 Ainslie StBrooklyn, NY 11211",4.5 star rating,54 reviews,/biz/yuji-ramen-brooklyn-3
Michael’s of Brooklyn,$$$,Midwood,"2929 Ave RBrooklyn, NY 11229",4.0 star rating,108 reviews,/biz/michaels-of-brooklyn-brooklyn
Black Flamingo,$$,Williamsburg - South Side,"168 Borinquen PlBrooklyn, NY 11211",4.5 star rating,55 reviews,/biz/black-flamingo-brooklyn
Marietta,$$,Clinton Hill,"285 Grand AveBrooklyn, NY 11238",4.0 star rating,188 reviews,/biz/marietta-brooklyn
Tchoup Shop,$$,Bushwick,"50 Wyckoff AveBrooklyn, NY 11237",4.0 star rating,163 reviews,/biz/tchoup-shop-brooklyn
Fair Weather Bushwick,$$,Bushwick,"274 Wyckoff AveBrooklyn, NY 11237",4.0 star rating,121 reviews,/biz/fair-weather-bushwick-brooklyn
Pitanga,$$,Bushwick,"207 Starr StBrooklyn, NY 11237",4.5 star rating,24 reviews,/biz/pitanga-brooklyn
Bake and Things,$,Flatbush,"1489 Flatbush AveBrooklyn, NY 11210",4.0 star rating,69 reviews,/biz/bake-and-things-brooklyn-2
Chavela’s,$$,Crown Heights,"736 Franklin AveBrooklyn, NY 11238",4.0 star rating,613 reviews,/biz/chavelas-brooklyn-2
Juniper,$$,Williamsburg - North Side,"112 Berry StBrooklyn, NY 11211",4.0 star rating,373 reviews,/biz/juniper-brooklyn-2
SoCo,$$,Clinton Hill,"509 Myrtle AveBrooklyn, NY 11205",4.0 star rating,1221 reviews,/biz/soco-brooklyn
Rose Water Restaurant,$$,Park Slope,"787 Union StBrooklyn, NY 11215",4.0 star rating,460 reviews,/biz/rose-water-restaurant-brooklyn
Cafe Madeline,$$,Flatbush,"1603 Cortelyou RdBrooklyn, NY 11226",4.0 star rating,234 reviews,/biz/cafe-madeline-brooklyn
Xixa,$$$,Williamsburg - South Side,"241 S 4th StBrooklyn, NY 11211",4.5 star rating,356 reviews,/biz/xixa-brooklyn
Taquitos Mexico,$,Bensonhurst,"6720 14 AveBrooklyn, NY 11219",4.5 star rating,79 reviews,/biz/taquitos-mexico-brooklyn
Bricolage,$$$,Park Slope,"162 5th AveBrooklyn, NY 11217",4.5 star rating,131 reviews,/biz/bricolage-brooklyn
Petit Oven,$$$,Bay Ridge,"276 Bay Ridge AveBrooklyn, NY 11220",4.5 star rating,135 reviews,/biz/petit-oven-brooklyn
Humo Smokehouse,$$,Fort Greene,"336 Myrtle AveBrooklyn, NY 11205",4.5 star rating,106 reviews,/biz/humo-smokehouse-brooklyn
Speedy Romeo,$$,"Bedford Stuyvesant, Clinton Hill","376 Classon AveBrooklyn, NY 11238",4.0 star rating,341 reviews,/biz/speedy-romeo-brooklyn
The River Café,$$$$,DUMBO,"1 Water StBrooklyn, NY 11201",4.0 star rating,623 reviews,/biz/the-river-caf%C3%A9-brooklyn-3
Frankies 457,$$,Carroll Gardens,"457 Court StBrooklyn, NY 11231",4.0 star rating,550 reviews,/biz/frankies-457-brooklyn
Yun Nan Flavor Garden,$,Borough Park,"5121 8th AveBrooklyn, NY 11220",4.0 star rating,104 reviews,/biz/yun-nan-flavor-garden-brooklyn
Giuseppina’s,$$,South Slope,"691 6th aveBrooklyn, NY 11215",4.5 star rating,178 reviews,/biz/giuseppinas-brooklyn
Bogota Latin Bistro,$$,Park Slope,"141 5th AveBrooklyn, NY 11217",4.0 star rating,1580 reviews,/biz/bogota-latin-bistro-brooklyn
The Good Fork,$$,Red Hook,"391 Van Brunt StBrooklyn, NY 11231",4.0 star rating,305 reviews,/biz/the-good-fork-brooklyn
Mama Rao Cucina Italiana,$$$,Dyker Heights,"6408 11th AvenueBrooklyn, NY 11219",4.5 star rating,98 reviews,/biz/mama-rao-cucina-italiana-brooklyn
El Kucho Mexican Restaurant,$,Bushwick,"141 Wilson AveBrooklyn, NY 11237",4.5 star rating,85 reviews,/biz/el-kucho-mexican-restaurant-brooklyn
Zizi Limona,$$,Williamsburg - South Side,"129 Havemeyer StBrooklyn, NY 11211",4.0 star rating,253 reviews,/biz/zizi-limona-brooklyn
Glady’s,$$,Crown Heights,"788 Franklin AveBrooklyn, NY 11238",4.0 star rating,183 reviews,/biz/gladys-brooklyn-2
Halalish,$,"Downtown Brooklyn, Brooklyn Heights","250 Joralemon StBrooklyn, NY 11201",4.5 star rating,35 reviews,/biz/halalish-brooklyn
Halalish,$,"Downtown Brooklyn, Brooklyn Heights","250 Joralemon StBrooklyn, NY 11201",4.5 star rating,35 reviews,/biz/halalish-brooklyn
Daddy Greens,$,Bedford Stuyvesant,"352 Malcolm X BlvdBrooklyn, NY 11233",4.0 star rating,157 reviews,/biz/daddy-greens-brooklyn
Gueros,$,Crown Heights,"605 Prospect PlBrooklyn, NY 11238",4.0 star rating,389 reviews,/biz/gueros-brooklyn
Hollow Nickel,$$,Boerum Hill,"494 Atlantic AveBrooklyn, NY 11217",4.0 star rating,121 reviews,/biz/hollow-nickel-brooklyn
Blue Ribbon Brasserie Brooklyn,$$$,Park Slope,"280 5th AveBrooklyn, NY 11215",4.0 star rating,427 reviews,/biz/blue-ribbon-brasserie-brooklyn-brooklyn
Archie’s Bar & Pizza,$$,Bushwick,"128 Central AveBrooklyn, NY 11221",4.5 star rating,100 reviews,/biz/archies-bar-and-pizza-brooklyn
Tanoreen,$$,Bay Ridge,"7523 3rd AveBrooklyn, NY 11209",4.0 star rating,541 reviews,/biz/tanoreen-brooklyn-2
Le Paddock,$$,Windsor Terrace,"1235 Prospect AveBrooklyn, NY 11218",4.0 star rating,197 reviews,/biz/le-paddock-brooklyn
Prospect,$$$,Fort Greene,"773 Fulton StBrooklyn, NY 11217",4.0 star rating,147 reviews,/biz/prospect-brooklyn
Caracas Arepa Bar,$$,Williamsburg - North Side,"291 Grand StBrooklyn, NY 11211",4.0 star rating,654 reviews,/biz/caracas-arepa-bar-brooklyn
M.O.B.,$$,Boerum Hill,"525 Atlantic AveBrooklyn, NY 11217",4.0 star rating,287 reviews,/biz/m-o-b-brooklyn
Sahara Ark,$$,Clinton Hill,"887 Fulton StBrooklyn, NY 11238",4.5 star rating,18 reviews,/biz/sahara-ark-brooklyn
Little Mo,$$,Bushwick,"1158 Myrtle AveBrooklyn, NY 11221",4.0 star rating,134 reviews,/biz/little-mo-brooklyn
Oxcart Tavern,$$,Flatbush,"1301 Newkirk AveBrooklyn, NY 11230",4.0 star rating,338 reviews,/biz/oxcart-tavern-brooklyn
St. Mazie,$$,Williamsburg - North Side,"345 Grand St WilliamsburgBrooklyn, NY 11211",4.0 star rating,102 reviews,/biz/st-mazie-brooklyn-2
Kai Feng Fu,$,Borough Park,"4801 8th AveBrooklyn, NY 11220",4.0 star rating,129 reviews,/biz/kai-feng-fu-brooklyn
Nargis Cafe,$$,"Gravesend, Brighton Beach","2818 Coney Island AveBrooklyn, NY 11235",4.0 star rating,346 reviews,/biz/nargis-cafe-brooklyn
Lock Yard,$$,"Fort Hamilton, Bay Ridge","9221 5th AveBrooklyn, NY 11209",4.0 star rating,187 reviews,/biz/lock-yard-brooklyn
Batata,$$,"Windsor Terrace, Kensington, Flatbush","3021 Fort Hamilton PkwyBrooklyn, NY 11218",4.0 star rating,79 reviews,/biz/batata-brooklyn
Ravioli Wine Bar,$$,"Gowanus, Carroll Gardens","277 Smith StBrooklyn, NY 11231",4.0 star rating,32 reviews,/biz/ravioli-wine-bar-brooklyn
Patsys Pizzeria,$$,"Park Slope, Prospect Heights","450 Dean StBrooklyn, NY 11217",4.5 star rating,194 reviews,/biz/patsys-pizzeria-brooklyn-2
Kabob Shack,$,Williamsburg - South Side,"182 Havemeyer StBrooklyn, NY 11211",4.5 star rating,106 reviews,/biz/kabob-shack-brooklyn
Diner,$$,Williamsburg - South Side,"85 BroadwayBrooklyn, NY 11211",4.0 star rating,615 reviews,/biz/diner-brooklyn
Testo,$$,East Williamsburg,"141 Leonard StBrooklyn, NY 11206",4.5 star rating,112 reviews,/biz/testo-brooklyn
The Narrows,$$,"East Williamsburg, Bushwick","1037 Flushing AveBrooklyn, NY 11237",4.0 star rating,134 reviews,/biz/the-narrows-brooklyn
Toby’s Public House,$$,South Slope,"686 6th AveBrooklyn, NY 11215",4.0 star rating,254 reviews,/biz/tobys-public-house-brooklyn
Manila Social Club,$$,Williamsburg - North Side,"2 Hope StBrooklyn, NY 11211",4.5 star rating,120 reviews,/biz/manila-social-club-brooklyn
OTB,$$,"Williamsburg - South Side, South Williamsburg","141 BroadwayBrooklyn, NY 11211",4.5 star rating,73 reviews,/biz/otb-brooklyn
Gino’s,$$,Bay Ridge,"7414 5th AveBrooklyn, NY 11209",4.0 star rating,374 reviews,/biz/ginos-brooklyn
East Wind Snack Shop,$$,Windsor Terrace,"471 16th StBrooklyn, NY 11215",4.0 star rating,61 reviews,/biz/east-wind-snack-shop-brooklyn
Chez Moi,$$,"Brooklyn Heights, Cobble Hill","135 Atlantic AveBrooklyn, NY 11201",4.0 star rating,220 reviews,/biz/chez-moi-brooklyn
Banhmigos,$,Park Slope,"178 Lincoln PlBrooklyn, NY 11217",4.0 star rating,179 reviews,/biz/banhmigos-brooklyn
Korzo,$$,South Slope,"667 5th AveBrooklyn, NY 11215",4.0 star rating,245 reviews,/biz/korzo-brooklyn
Marlow & Sons,$$$,South Williamsburg,"81 BroadwayBrooklyn, NY 11249",4.0 star rating,427 reviews,/biz/marlow-and-sons-brooklyn-2
Mister Hotpot,$$,Borough Park,"5306 8th AveBrooklyn, NY 11220",4.0 star rating,329 reviews,/biz/mister-hotpot-brooklyn-2
Think Sweet,$,"Gravesend, Midwood","546 Kings HwyBrooklyn, NY 11223",5.0 star rating,27 reviews,/biz/think-sweet-brooklyn
Al Seabu,$$,Park Slope,"383 5th AveBrooklyn, NY 11215",4.5 star rating,62 reviews,/biz/al-seabu-brooklyn
Alice’s Arbor,$$,"Bedford Stuyvesant, Clinton Hill","549 Classon AveBrooklyn, NY 11238",4.0 star rating,303 reviews,/biz/alices-arbor-brooklyn
